City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,iqaluit,63.7506,-68.5145,-32,66,20,15.01,CA,2023-02-04 21:05:33
300,half moon bay,37.4636,-122.4286,62,93,100,17.27,US,2023-02-04 21:03:33
301,carutapera,-1.195,-46.02,77,93,100,8.88,BR,2023-02-04 21:05:37
302,jacareacanga,-6.2222,-57.7528,81,85,82,2.1,BR,2023-02-04 21:05:37
303,tomari,47.7658,142.0683,6,91,38,4.29,RU,2023-02-04 21:05:38
304,kaputa,-8.4689,29.6619,69,87,100,3.71,ZM,2023-02-04 21:05:39
305,kaitangata,-46.2817,169.8464,71,67,100,5.12,NZ,2023-02-04 21:05:40
306,sant,47.45,24.9,21,87,100,10.27,RO,2023-02-04 21:05:42
307,nanortalik,60.1432,-45.2371,25,74,99,22.26,GL,2023-02-04 21:05:43
308,texarkana,33.4251,-94.0477,59,38,0,10.36,US,2023-02-04 21:03:34
309,zyryanovsk,49.7386,84.2719,25,97,100,2.15,KZ,2023-02-04 21:05:46
310,wewak,-3.5534,143.6268,77,87,100,3.91,PG,2023-02-04 21:05:47
311,mount isa,-20.7333,139.5,71,37,99,9.22,AU,2023-02-04 21:01:46
312,conceicao da barra,-18.5933,-39.7322,79,83,2,10.13,BR,2023-02-04 21:05:48
313,ambilobe,-13.2,49.05,74,96,99,1.95,MG,2023-02-04 21:05:49
314,salta,-24.7859,-65.4117,72,68,75,9.22,AR,2023-02-04 21:04:38
